NULL,(,(,1
太魯閣國家公園管理處,(,(,350323
玉山國家公園管理處,(,(,603549
玉山國家公園管理處,0,(,1
玉山國家公園管理處,0,0,105271
玉山國家公園管理處,0,1,21
玉山國家公園管理處,1,0,2634
自然保留區,(,(,3
國家步道(山屋/營地),(,(,11
雪霸國家公園管理處," "," ",1
雪霸國家公園管理處,(,(,444644
警政署入山,(,(,5
